"Name","noisy_layer_init_std","mean_regret","seed","env_id","_wandb"
"conbandit_combi1_0__3__2025-06-13_20-19","2","257.7805480957031","3","NNBandit-v0",""
"conbandit_combi1_0__2__2025-06-13_20-18","2","219.34359741210935","2","NNBandit-v0",""
"conbandit_combi1_0__1__2025-06-13_20-18","2","258.18853759765625","1","NNBandit-v0",""
"conbandit_combi1_0__0__2025-06-13_20-18","2","176.0945587158203","0","NNBandit-v0",""
"conbandit_combi1_0__3__2025-06-13_20-17","1.602","201.25616455078125","3","NNBandit-v0",""
"conbandit_combi1_0__2__2025-06-13_20-17","1.602","178.879150390625","2","NNBandit-v0",""
"conbandit_combi1_0__1__2025-06-13_20-17","1.602","196.74549865722656","1","NNBandit-v0",""
"conbandit_combi1_0__0__2025-06-13_20-16","1.602","142.21641540527344","0","NNBandit-v0",""
"conbandit_combi1_0__3__2025-06-13_20-16","1.204","154.64271545410156","3","NNBandit-v0",""
"conbandit_combi1_0__2__2025-06-13_20-15","1.204","129.70338439941406","2","NNBandit-v0",""
"conbandit_combi1_0__1__2025-06-13_20-14","1.204","137.24102783203125","1","NNBandit-v0",""
"conbandit_combi1_0__0__2025-06-13_20-14","1.204","105.08768463134766","0","NNBandit-v0",""
"conbandit_combi1_0__3__2025-06-13_20-13","0.806","117.6431884765625","3","NNBandit-v0",""
"conbandit_combi1_0__2__2025-06-13_20-13","0.806","84.05860137939453","2","NNBandit-v0",""
"conbandit_combi1_0__1__2025-06-13_20-12","0.806","75.98004913330078","1","NNBandit-v0",""
"conbandit_combi1_0__0__2025-06-13_20-12","0.806","75.73820495605469","0","NNBandit-v0",""
"conbandit_combi1_0__3__2025-06-13_20-12","0.408","89.35750579833984","3","NNBandit-v0",""
"conbandit_combi1_0__2__2025-06-13_20-11","0.408","55.730438232421875","2","NNBandit-v0",""
"conbandit_combi1_0__1__2025-06-13_20-11","0.408","39.22235870361328","1","NNBandit-v0",""
"conbandit_combi1_0__0__2025-06-13_20-10","0.408","43.069313049316406","0","NNBandit-v0",""
"conbandit_combi1_0__3__2025-06-13_20-10","0.01","175.0729522705078","3","NNBandit-v0",""
"conbandit_combi1_0__2__2025-06-13_20-10","0.01","49.48488235473633","2","NNBandit-v0",""
"conbandit_combi1_0__1__2025-06-13_20-09","0.01","35.166194915771484","1","NNBandit-v0",""
"conbandit_combi1_0__0__2025-06-13_20-09","0.01","41.00874328613281","0","NNBandit-v0",""
"conbandit_combi1_0__3__2025-06-13_20-09","2","395.673","3","MNISTBandit-v0",""
"conbandit_combi1_0__2__2025-06-13_20-08","2","411.461","2","MNISTBandit-v0",""
"conbandit_combi1_0__1__2025-06-13_20-08","2","415.701","1","MNISTBandit-v0",""
"conbandit_combi1_0__0__2025-06-13_20-08","2","396.221","0","MNISTBandit-v0",""
"conbandit_combi1_0__3__2025-06-13_20-07","1.602","323.678","3","MNISTBandit-v0",""
"conbandit_combi1_0__2__2025-06-13_20-07","1.602","355.15","2","MNISTBandit-v0",""
"conbandit_combi1_0__1__2025-06-13_20-07","1.602","343.573","1","MNISTBandit-v0",""
"conbandit_combi1_0__0__2025-06-13_20-06","1.602","310.887","0","MNISTBandit-v0",""
"conbandit_combi1_0__3__2025-06-13_20-06","1.204","265.415","3","MNISTBandit-v0",""
"conbandit_combi1_0__2__2025-06-13_20-06","1.204","321.965","2","MNISTBandit-v0",""
"conbandit_combi1_0__1__2025-06-13_20-05","1.204","299.571","1","MNISTBandit-v0",""
"conbandit_combi1_0__0__2025-06-13_20-05","1.204","271.254","0","MNISTBandit-v0",""
"conbandit_combi1_0__3__2025-06-13_20-04","0.806","225.435","3","MNISTBandit-v0",""
"conbandit_combi1_0__2__2025-06-13_20-04","0.806","288.061","2","MNISTBandit-v0",""
"conbandit_combi1_0__1__2025-06-13_20-04","0.806","269.072","1","MNISTBandit-v0",""
"conbandit_combi1_0__0__2025-06-13_20-02","0.806","246.533","0","MNISTBandit-v0",""
"conbandit_combi1_0__3__2025-06-13_20-02","0.408","184.455","3","MNISTBandit-v0",""
"conbandit_combi1_0__2__2025-06-13_20-01","0.408","268.251","2","MNISTBandit-v0",""
"conbandit_combi1_0__1__2025-06-13_20-01","0.408","243.57","1","MNISTBandit-v0",""
"conbandit_combi1_0__0__2025-06-13_20-01","0.408","224.361","0","MNISTBandit-v0",""
"conbandit_combi1_0__3__2025-06-13_20-00","0.01","217.784","3","MNISTBandit-v0",""
"conbandit_combi1_0__2__2025-06-13_20-00","0.01","268.409","2","MNISTBandit-v0",""
"conbandit_combi1_0__1__2025-06-13_20-00","0.01","310.959","1","MNISTBandit-v0",""
"conbandit_combi1_0__0__2025-06-13_19-59","0.01","262.82","0","MNISTBandit-v0",""
"conbandit_combi1_0__3__2025-06-13_19-59","2","261.9460524424127","3","ContextualBandit-v2",""
"conbandit_combi1_0__2__2025-06-13_19-59","2","161.83877115470682","2","ContextualBandit-v2",""
"conbandit_combi1_0__1__2025-06-13_19-58","2","232.888295267117","1","ContextualBandit-v2",""
"conbandit_combi1_0__0__2025-06-13_19-58","2","172.4640615813341","0","ContextualBandit-v2",""
"conbandit_combi1_0__3__2025-06-13_19-57","1.602","205.97633195024324","3","ContextualBandit-v2",""
"conbandit_combi1_0__2__2025-06-13_19-57","1.602","125.219243053591","2","ContextualBandit-v2",""
"conbandit_combi1_0__1__2025-06-13_19-57","1.602","180.2601617966267","1","ContextualBandit-v2",""
"conbandit_combi1_0__0__2025-06-13_19-56","1.602","143.37101543285178","0","ContextualBandit-v2",""
"conbandit_combi1_0__3__2025-06-13_19-56","1.204","147.4469133540529","3","ContextualBandit-v2",""
"conbandit_combi1_0__2__2025-06-13_19-55","1.204","95.5422144543941","2","ContextualBandit-v2",""
"conbandit_combi1_0__1__2025-06-13_19-55","1.204","141.6537031134725","1","ContextualBandit-v2",""
"conbandit_combi1_0__0__2025-06-13_19-55","1.204","106.54806228852372","0","ContextualBandit-v2",""
"conbandit_combi1_0__3__2025-06-13_19-54","0.806","98.60544808254132","3","ContextualBandit-v2",""
"conbandit_combi1_0__2__2025-06-13_19-54","0.806","78.12755282899916","2","ContextualBandit-v2",""
"conbandit_combi1_0__1__2025-06-13_19-53","0.806","91.0264276233956","1","ContextualBandit-v2",""
"conbandit_combi1_0__0__2025-06-13_19-53","0.806","63.546414644934515","0","ContextualBandit-v2",""
"conbandit_combi1_0__3__2025-06-13_19-53","0.408","61.222967861148014","3","ContextualBandit-v2",""
"conbandit_combi1_0__2__2025-06-13_19-52","0.408","61.46584465614512","2","ContextualBandit-v2",""
"conbandit_combi1_0__1__2025-06-13_19-52","0.408","84.4211512835729","1","ContextualBandit-v2",""
"conbandit_combi1_0__0__2025-06-13_19-51","0.408","32.43942523831426","0","ContextualBandit-v2",""
"conbandit_combi1_0__3__2025-06-13_19-51","0.01","265.00204075612805","3","ContextualBandit-v2",""
"conbandit_combi1_0__2__2025-06-13_19-51","0.01","52.58848895493269","2","ContextualBandit-v2",""
"conbandit_combi1_0__1__2025-06-13_19-50","0.01","72.56127693835639","1","ContextualBandit-v2",""
"conbandit_combi1_0__0__2025-06-13_19-50","0.01","9.312246300634994","0","ContextualBandit-v2",""