"Name","batch_size","mean_regret","seed","env_id","memory_size","_wandb"
"conbandit_combi1_0__5__2025-06-18_12-48","200","94.639892578125","5","NNBandit-v0","1500",""
"conbandit_combi1_0__4__2025-06-18_12-48","200","122.85448455810548","4","NNBandit-v0","1500",""
"conbandit_combi1_0__3__2025-06-18_12-48","200","138.7726593017578","3","NNBandit-v0","1500",""
"conbandit_combi1_0__2__2025-06-18_12-47","200","85.4046401977539","2","NNBandit-v0","1500",""
"conbandit_combi1_0__1__2025-06-18_12-47","200","72.79340362548828","1","NNBandit-v0","1500",""
"conbandit_combi1_0__0__2025-06-18_12-47","200","62.818851470947266","0","NNBandit-v0","1500",""
"conbandit_combi1_0__5__2025-06-18_12-42","200","87.81997489642916","5","ContextualBandit-v2","1500",""
"conbandit_combi1_0__4__2025-06-18_12-42","200","211.6875984481316","4","ContextualBandit-v2","1500",""
"conbandit_combi1_0__3__2025-06-18_12-41","200","86.68703867730741","3","ContextualBandit-v2","1500",""
"conbandit_combi1_0__2__2025-06-18_12-41","200","77.64778992543664","2","ContextualBandit-v2","1500",""
"conbandit_combi1_0__1__2025-06-18_12-41","200","78.24235827006073","1","ContextualBandit-v2","1500",""
"conbandit_combi1_0__0__2025-06-18_12-41","200","42.53429839331325","0","ContextualBandit-v2","1500",""
"conbandit_combi1_0__5__2025-06-18_12-35","100","54.462860107421875","5","NNBandit-v0","1500",""
"conbandit_combi1_0__4__2025-06-18_12-35","100","91.0340805053711","4","NNBandit-v0","1500",""
"conbandit_combi1_0__3__2025-06-18_12-35","100","89.28663635253906","3","NNBandit-v0","1500",""
"conbandit_combi1_0__2__2025-06-18_12-35","100","54.52947616577149","2","NNBandit-v0","1500",""
"conbandit_combi1_0__1__2025-06-18_12-34","100","39.53823471069336","1","NNBandit-v0","1500",""
"conbandit_combi1_0__0__2025-06-18_12-34","100","41.76676559448242","0","NNBandit-v0","1500",""
"conbandit_combi1_0__5__2025-06-18_12-29","100","58.7229740331104","5","ContextualBandit-v2","1500",""
"conbandit_combi1_0__4__2025-06-18_12-29","100","195.8492545052335","4","ContextualBandit-v2","1500",""
"conbandit_combi1_0__3__2025-06-18_12-29","100","60.64214506887281","3","ContextualBandit-v2","1500",""
"conbandit_combi1_0__2__2025-06-18_12-28","100","61.402513128251606","2","ContextualBandit-v2","1500",""
"conbandit_combi1_0__1__2025-06-18_12-28","100","84.37064938977342","1","ContextualBandit-v2","1500",""
"conbandit_combi1_0__0__2025-06-18_12-28","100","30.432225604198816","0","ContextualBandit-v2","1500",""
"conbandit_combi1_0__5__2025-06-18_12-23","50","33.687461853027344","5","NNBandit-v0","1500",""
"conbandit_combi1_0__4__2025-06-18_12-22","50","55.896610260009766","4","NNBandit-v0","1500",""
"conbandit_combi1_0__3__2025-06-18_12-22","50","62.50767135620117","3","NNBandit-v0","1500",""
"conbandit_combi1_0__2__2025-06-18_12-22","50","39.93711853027344","2","NNBandit-v0","1500",""
"conbandit_combi1_0__1__2025-06-18_12-22","50","26.594528198242188","1","NNBandit-v0","1500",""
"conbandit_combi1_0__0__2025-06-18_12-21","50","34.97147750854492","0","NNBandit-v0","1500",""
"conbandit_combi1_0__5__2025-06-18_12-16","50","59.46668857576315","5","ContextualBandit-v2","1500",""
"conbandit_combi1_0__4__2025-06-18_12-16","50","188.76932691298103","4","ContextualBandit-v2","1500",""
"conbandit_combi1_0__3__2025-06-18_12-16","50","48.95253128401007","3","ContextualBandit-v2","1500",""
"conbandit_combi1_0__2__2025-06-18_12-16","50","55.25196612456769","2","ContextualBandit-v2","1500",""
"conbandit_combi1_0__1__2025-06-18_12-15","50","75.46099350315491","1","ContextualBandit-v2","1500",""
"conbandit_combi1_0__0__2025-06-18_12-15","50","24.04491313632151","0","ContextualBandit-v2","1500",""
"conbandit_combi1_0__5__2025-06-18_12-11","30","28.0293025970459","5","NNBandit-v0","1500",""
"conbandit_combi1_0__4__2025-06-18_12-11","30","44.51026153564453","4","NNBandit-v0","1500",""
"conbandit_combi1_0__3__2025-06-18_12-10","30","55.91391372680664","3","NNBandit-v0","1500",""
"conbandit_combi1_0__2__2025-06-18_12-10","30","29.14575958251953","2","NNBandit-v0","1500",""
"conbandit_combi1_0__1__2025-06-18_12-10","30","24.154630661010746","1","NNBandit-v0","1500",""
"conbandit_combi1_0__0__2025-06-18_12-10","30","33.70376205444336","0","NNBandit-v0","1500",""
"conbandit_combi1_0__5__2025-06-18_12-06","30","57.31356025386006","5","ContextualBandit-v2","1500",""
"conbandit_combi1_0__4__2025-06-18_12-05","30","184.5579739256476","4","ContextualBandit-v2","1500",""
"conbandit_combi1_0__3__2025-06-18_12-05","30","59.74294986446421","3","ContextualBandit-v2","1500",""
"conbandit_combi1_0__2__2025-06-18_12-05","30","59.31223018951","2","ContextualBandit-v2","1500",""
"conbandit_combi1_0__1__2025-06-18_12-05","30","71.39244383568605","1","ContextualBandit-v2","1500",""
"conbandit_combi1_0__0__2025-06-18_12-04","30","22.222892682527704","0","ContextualBandit-v2","1500",""
"conbandit_combi1_0__5__2025-06-18_12-00","20","25.68247985839844","5","NNBandit-v0","1500",""
"conbandit_combi1_0__4__2025-06-18_12-00","20","43.576759338378906","4","NNBandit-v0","1500",""
"conbandit_combi1_0__3__2025-06-18_11-59","20","48.46036529541016","3","NNBandit-v0","1500",""
"conbandit_combi1_0__2__2025-06-18_11-59","20","25.987916946411133","2","NNBandit-v0","1500",""
"conbandit_combi1_0__1__2025-06-18_11-59","20","23.42710876464844","1","NNBandit-v0","1500",""
"conbandit_combi1_0__0__2025-06-18_11-58","20","34.366249084472656","0","NNBandit-v0","1500",""
"conbandit_combi1_0__5__2025-06-18_11-54","20","58.00129202743421","5","ContextualBandit-v2","1500",""
"conbandit_combi1_0__4__2025-06-18_11-54","20","183.42958241434272","4","ContextualBandit-v2","1500",""
"conbandit_combi1_0__3__2025-06-18_11-54","20","59.20993844601356","3","ContextualBandit-v2","1500",""
"conbandit_combi1_0__2__2025-06-18_11-53","20","52.560078280513466","2","ContextualBandit-v2","1500",""
"conbandit_combi1_0__1__2025-06-18_11-53","20","80.0212715359532","1","ContextualBandit-v2","1500",""
"conbandit_combi1_0__0__2025-06-18_11-53","20","20.671827064323853","0","ContextualBandit-v2","1500",""
"conbandit_combi1_0__5__2025-06-18_11-48","10","23.145273208618164","5","NNBandit-v0","1500",""
"conbandit_combi1_0__4__2025-06-18_11-48","10","39.34781265258789","4","NNBandit-v0","1500",""
"conbandit_combi1_0__3__2025-06-18_11-48","10","53.50057220458984","3","NNBandit-v0","1500",""
"conbandit_combi1_0__2__2025-06-18_11-47","10","23.6677188873291","2","NNBandit-v0","1500",""
"conbandit_combi1_0__1__2025-06-18_11-47","10","19.445331573486328","1","NNBandit-v0","1500",""
"conbandit_combi1_0__0__2025-06-18_11-47","10","37.44712448120117","0","NNBandit-v0","1500",""
"conbandit_combi1_0__5__2025-06-18_11-42","10","50.65063027572106","5","ContextualBandit-v2","1500",""
"conbandit_combi1_0__4__2025-06-18_11-42","10","190.63013967059848","4","ContextualBandit-v2","1500",""
"conbandit_combi1_0__3__2025-06-18_11-42","10","63.32348375033787","3","ContextualBandit-v2","1500",""
"conbandit_combi1_0__2__2025-06-18_11-41","10","51.0981432563938","2","ContextualBandit-v2","1500",""
"conbandit_combi1_0__1__2025-06-18_11-41","10","75.42000753506065","1","ContextualBandit-v2","1500",""
"conbandit_combi1_0__0__2025-06-18_11-41","10","22.95842653317786","0","ContextualBandit-v2","1500",""
"conbandit_combi1_0__5__2025-06-18_11-36","5","26.72928237915039","5","NNBandit-v0","1500",""
"conbandit_combi1_0__4__2025-06-18_11-35","5","42.930171966552734","4","NNBandit-v0","1500",""
"conbandit_combi1_0__3__2025-06-18_11-35","5","60.68592834472656","3","NNBandit-v0","1500",""
"conbandit_combi1_0__2__2025-06-18_11-35","5","29.528411865234375","2","NNBandit-v0","1500",""
"conbandit_combi1_0__1__2025-06-18_11-35","5","19.963747024536133","1","NNBandit-v0","1500",""
"conbandit_combi1_0__0__2025-06-18_11-34","5","44.82378005981445","0","NNBandit-v0","1500",""
"conbandit_combi1_0__5__2025-06-18_11-30","5","58.22177596718764","5","ContextualBandit-v2","1500",""
"conbandit_combi1_0__4__2025-06-18_11-29","5","188.9673054443332","4","ContextualBandit-v2","1500",""
"conbandit_combi1_0__3__2025-06-18_11-29","5","62.20729054018496","3","ContextualBandit-v2","1500",""
"conbandit_combi1_0__2__2025-06-18_11-29","5","55.4357242682984","2","ContextualBandit-v2","1500",""
"conbandit_combi1_0__1__2025-06-18_11-28","5","66.03233686793551","1","ContextualBandit-v2","1500",""
"conbandit_combi1_0__0__2025-06-18_11-28","5","30.278535889412257","0","ContextualBandit-v2","1500",""
"conbandit_combi1_0__5__2025-06-18_11-24","2","32.98225021362305","5","NNBandit-v0","1500",""
"conbandit_combi1_0__4__2025-06-18_11-24","2","64.96378326416016","4","NNBandit-v0","1500",""
"conbandit_combi1_0__3__2025-06-18_11-23","2","74.87954711914062","3","NNBandit-v0","1500",""
"conbandit_combi1_0__2__2025-06-18_11-23","2","44.69111251831055","2","NNBandit-v0","1500",""
"conbandit_combi1_0__1__2025-06-18_11-23","2","28.099390029907227","1","NNBandit-v0","1500",""
"conbandit_combi1_0__0__2025-06-18_11-23","2","64.4267349243164","0","NNBandit-v0","1500",""
"conbandit_combi1_0__5__2025-06-18_11-18","2","67.96572882390981","5","ContextualBandit-v2","1500",""
"conbandit_combi1_0__4__2025-06-18_11-18","2","199.74594488434153","4","ContextualBandit-v2","1500",""
"conbandit_combi1_0__3__2025-06-18_11-17","2","82.35630147309344","3","ContextualBandit-v2","1500",""
"conbandit_combi1_0__2__2025-06-18_11-17","2","61.24958199375936","2","ContextualBandit-v2","1500",""
"conbandit_combi1_0__1__2025-06-18_11-17","2","76.87854841414187","1","ContextualBandit-v2","1500",""
"conbandit_combi1_0__0__2025-06-18_11-17","2","46.423715685177974","0","ContextualBandit-v2","1500",""