"Step","conbandit_combi1_0__5820__2025-06-17_16-53 - score","conbandit_combi1_0__5820__2025-06-17_16-53 - score__MIN","conbandit_combi1_0__5820__2025-06-17_16-53 - score__MAX","conbandit_combi1_0__7324__2025-06-17_16-52 - score","conbandit_combi1_0__7324__2025-06-17_16-52 - score__MIN","conbandit_combi1_0__7324__2025-06-17_16-52 - score__MAX","conbandit_combi1_0__6341__2025-06-17_16-51 - score","conbandit_combi1_0__6341__2025-06-17_16-51 - score__MIN","conbandit_combi1_0__6341__2025-06-17_16-51 - score__MAX"
"50","0.5825483481474076","0.5825483481474076","0.5825483481474076","-0.88","-0.88","-0.88","0.1080160852521658","0.1080160852521658","0.1080160852521658"
"100","0.5909280020981424","0.5909280020981424","0.5909280020981424","-0.92","-0.92","-0.92","0.08165237113833428","0.08165237113833428","0.08165237113833428"
"150","0.6424472029108557","0.6424472029108557","0.6424472029108557","-0.96","-0.96","-0.96","0.13256746083498","0.13256746083498","0.13256746083498"
"200","0.6789637415513745","0.6789637415513745","0.6789637415513745","0.08","0.08","0.08","0.2842725273966789","0.2842725273966789","0.2842725273966789"
"250","0.6528498652042063","0.6528498652042063","0.6528498652042063","0.4","0.4","0.4","0.27077752381563186","0.27077752381563186","0.27077752381563186"
"300","0.7132774068464914","0.7132774068464914","0.7132774068464914","0.72","0.72","0.72","0.33334176138043403","0.33334176138043403","0.33334176138043403"
"350","0.7507915337949747","0.7507915337949747","0.7507915337949747","0.52","0.52","0.52","0.3206798124313355","0.3206798124313355","0.3206798124313355"
"400","0.760430255035796","0.760430255035796","0.760430255035796","0.84","0.84","0.84","0.32546397149562833","0.32546397149562833","0.32546397149562833"
"450","0.7275145795976976","0.7275145795976976","0.7275145795976976","0.84","0.84","0.84","0.3377657098323107","0.3377657098323107","0.3377657098323107"
"500","0.7664818841597476","0.7664818841597476","0.7664818841597476","1","1","1","0.32456210419535636","0.32456210419535636","0.32456210419535636"
"550","0.7468932103278594","0.7468932103278594","0.7468932103278594","1","1","1","0.35087592102587223","0.35087592102587223","0.35087592102587223"
"600","0.7260892934365069","0.7260892934365069","0.7260892934365069","1","1","1","0.3412826958298683","0.3412826958298683","0.3412826958298683"
"650","0.7916642989909459","0.7916642989909459","0.7916642989909459","1","1","1","0.36708706349134446","0.36708706349134446","0.36708706349134446"
"700","0.724430746034845","0.724430746034845","0.724430746034845","1","1","1","0.32869388625025747","0.32869388625025747","0.32869388625025747"
"750","0.7541090350736636","0.7541090350736636","0.7541090350736636","1","1","1","0.3729360231757164","0.3729360231757164","0.3729360231757164"
"800","0.7761183957344105","0.7761183957344105","0.7761183957344105","1","1","1","0.3477500629425049","0.3477500629425049","0.3477500629425049"
"850","0.7982702017783859","0.7982702017783859","0.7982702017783859","1","1","1","0.360642563700676","0.360642563700676","0.360642563700676"
"900","0.7702994105048078","0.7702994105048078","0.7702994105048078","1","1","1","0.37576036393642426","0.37576036393642426","0.37576036393642426"
"950","0.769435789310853","0.769435789310853","0.769435789310853","1","1","1","0.3534193590283394","0.3534193590283394","0.3534193590283394"
"1000","0.7769157976741559","0.7769157976741559","0.7769157976741559","1","1","1","0.3618110966682434","0.3618110966682434","0.3618110966682434"
"1050","0.7758077701672335","0.7758077701672335","0.7758077701672335","1","1","1","0.37068706899881365","0.37068706899881365","0.37068706899881365"
"1100","0.7626942920847116","0.7626942920847116","0.7626942920847116","1","1","1","0.37875898838043215","0.37875898838043215","0.37875898838043215"
"1150","0.7851852750773647","0.7851852750773647","0.7851852750773647","1","1","1","0.3685498684644699","0.3685498684644699","0.3685498684644699"
"1200","0.782325731062774","0.782325731062774","0.782325731062774","1","1","1","0.36794234573841095","0.36794234573841095","0.36794234573841095"
"1250","0.7790587381954814","0.7790587381954814","0.7790587381954814","1","1","1","0.3866094273328781","0.3866094273328781","0.3866094273328781"
"1300","0.7889640300808785","0.7889640300808785","0.7889640300808785","1","1","1","0.3882011088728905","0.3882011088728905","0.3882011088728905"
"1350","0.7961565677434987","0.7961565677434987","0.7961565677434987","1","1","1","0.367678180038929","0.367678180038929","0.367678180038929"
"1400","0.7825469948448733","0.7825469948448733","0.7825469948448733","1","1","1","0.37225658893585206","0.37225658893585206","0.37225658893585206"
"1450","0.7826672869102294","0.7826672869102294","0.7826672869102294","1","1","1","0.3524789637327194","0.3524789637327194","0.3524789637327194"
"1500","0.7958375130075538","0.7958375130075538","0.7958375130075538","1","1","1","0.3532663401961327","0.3532663401961327","0.3532663401961327"
"1550","0.7897487027384664","0.7897487027384664","0.7897487027384664","1","1","1","0.3741956898570061","0.3741956898570061","0.3741956898570061"
"1600","0.8043715600630488","0.8043715600630488","0.8043715600630488","1","1","1","0.3779727119207382","0.3779727119207382","0.3779727119207382"
"1650","0.768120319129957","0.768120319129957","0.768120319129957","1","1","1","0.377503998875618","0.377503998875618","0.377503998875618"
"1700","0.7920644545470441","0.7920644545470441","0.7920644545470441","1","1","1","0.3741012221574783","0.3741012221574783","0.3741012221574783"
"1750","0.7801042094075987","0.7801042094075987","0.7801042094075987","1","1","1","0.37154542207717894","0.37154542207717894","0.37154542207717894"
"1800","0.7973644790523973","0.7973644790523973","0.7973644790523973","1","1","1","0.3732703748345375","0.3732703748345375","0.3732703748345375"
"1850","0.8013920130421777","0.8013920130421777","0.8013920130421777","1","1","1","0.37553574204444884","0.37553574204444884","0.37553574204444884"
"1900","0.7881656060866213","0.7881656060866213","0.7881656060866213","1","1","1","0.3771285915374756","0.3771285915374756","0.3771285915374756"
"1950","0.7769951600726261","0.7769951600726261","0.7769951600726261","1","1","1","0.3605944865942001","0.3605944865942001","0.3605944865942001"
"2000","0.7885499610847835","0.7885499610847835","0.7885499610847835","1","1","1","0.372581507563591","0.372581507563591","0.372581507563591"