"Step","env_id: NNBandit-v0 - score","env_id: NNBandit-v0 - score__MIN","env_id: NNBandit-v0 - score__MAX"
"50","0.013013197751715777","-0.18186315558850766","0.19313389010727405"
"100","0.13212135306994122","-0.09812520435079933","0.24971811726689339"
"150","0.19584975805102542","-0.06054072931408882","0.33946161955595017"
"200","0.2178195439924796","0.010920478738844394","0.37723751217126844"
"250","0.22514920527860524","-0.008435376584529877","0.3922854135930538"
"300","0.2489410042650998","0.08590889722108841","0.38920809507369997"
"350","0.25696700835848846","0.06795835699886084","0.42430938228964804"
"400","0.2753318006930252","0.0681674025207758","0.42023815602064135"
"450","0.27861611730729546","0.09074466306716204","0.4337327441573143"
"500","0.2900234246781717","0.11441719457507134","0.4931226444244385"
"550","0.2881575920898467","0.11227602157741785","0.4573741279542446"
"600","0.2977770195590953","0.11807983826845884","0.4751754027605057"
"650","0.30349806529407697","0.07996484611183405","0.5029682347178459"
"700","0.30654903830215324","0.09812000032514334","0.4454538384079933"
"750","0.31105728896148505","0.12847440978512167","0.4717723798751831"
"800","0.30936093553528193","0.12180274829268456","0.4994649541378021"
"850","0.30916224563866845","0.09830788634717465","0.46611927956342697"
"900","0.31230169258515045","0.13672277480363845","0.4630934357643127"
"950","0.31526750500996903","0.13107821211218834","0.5173869460821152"
"1000","0.31758940741543973","0.12801668900996446","0.473961723446846"
"1050","0.31163057795166965","-0.01428429428488016","0.4905606839060783"
"1100","0.31132784030586474","0.0018542077392339706","0.494397389292717"
"1150","0.3175061730022231","-0.011551556810736656","0.5061109749972821"
"1200","0.3234533618117373","0.00010216578841209411","0.49070401340723035"
"1250","0.3243316155945261","0.016895543783903122","0.49842700570821763"
"1300","0.32992968057592714","0.07453588850796222","0.5235748445987701"
"1350","0.32665883896748227","0.09079433500766754","0.51708566904068"
"1400","0.33202492936948935","0.12035650849342346","0.5090540665388107"
"1450","0.3322162825092673","0.15698207452893256","0.5010986530780792"
"1500","0.3373964075495799","0.16225534446537496","0.5207041716575622"
"1550","0.3369825823629895","0.1727153753489256","0.5142920339107513"
"1600","0.3380941928414007","0.17407084718346597","0.5058238470554351"
"1650","0.33846869936337065","0.16614711925387382","0.5180595058202744"
"1700","0.34078439739098165","0.15367731884121894","0.5259721076488495"
"1750","0.3421197997108102","0.16233912199735642","0.5301680424809456"
"1800","0.3471882127746941","0.15524127401411533","0.5331694263219834"
"1850","0.34230403445164365","0.16184677213430404","0.5246576148271561"
"1900","0.3408560696542263","0.16591305419802665","0.5184111827611924"
"1950","0.3383944327433905","0.16743647649884225","0.5230819875001907"
"2000","0.34321041672428443","0.17429714530706406","0.5142283856868743"